name,id,address,date,kWh,public_url,installationDate,uid
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/14 10:00:00 AM,1.097,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-14 10:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/14 11:00:00 AM,1.576,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-14 11:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/14 12:00:00 PM,5.88,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-14 12:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/14 01:00:00 PM,8.572,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-14 13:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/14 02:00:00 PM,7.107,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-14 14:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/14 03:00:00 PM,4.504,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-14 15:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/14 04:00:00 PM,5.68,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-14 16:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/14 05:00:00 PM,1.336,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-14 17:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/14 06:00:00 PM,0.06,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-14 18:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/14 07:00:00 PM,0.429,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-14 19:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/15 07:00:00 AM,0.057,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-15 07:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/15 08:00:00 AM,0.708,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-15 08:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/15 09:00:00 AM,1.427,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-15 09:00:00
Calgary Fire Hall Headquarters,314106,1212 42 AV SE,2017/09/15 10:00:00 AM,2.777,https://monitoring.solaredge.com/solaredge-web/p/public?name=Fire%20HQ,2016/11/07,3141062017-09-15 10:00:00
